text,N/S/J/G,V/L,favorite_count,retweet_count,followers_count,friends_count,listed_count,statuses_count,favourites_count
peopl almost everi vaccin side effect believ better die although doesnt feel like time,J,V,1,0,613,547,1,201863,217303
evid support claim million dose given blood clot death far normal side effect vaccin administr less dead virus,S,L,0,0,217,624,2,2740,20571
got first shot today get glorious drunk blame hangov vaccin side effect tomorrow,J,L,0,0,111,425,4,465,545
total differ type vaccin might feel great afterward worth got johnson johnson vaccin sunday zero side effect luck,T,L,2,1,2505,2843,3,2828,32063
selfconsci take selfi earlier even got first vaccin shot arm littl sore otherwis side effect super power yet,J,L,5,0,2740,1652,108,15763,2452
got pfizer vaccin today side effect sister got moderna vaccin today arm realli hurt,S,V,0,0,2176,3434,9,23915,45607
yeah forget said earlier experienc side effect vaccin feel sluggish extrem joint pain send help,S,V,3,0,369,569,1,695,1952
swear covid vaccin given side effect actual covid gave,J,V,0,0,318,286,5,10604,20611
side effect got pfizer vaccin,G,L,0,0,1524,2604,0,4744,11836
thank get jampj vaccin except minor headach hrs later ive side effect texa rawarrior chronicil oneanddon covidvaccin janssen vaccin johnsonandjohnsonvaccin,G,L,0,0,38,76,0,550,3464
im glad got shot im drug sensit amp hard time wit wrote drug sensit peopl yes may side effect worth may blog encourag peopl worri side effect pa,T,V,3,0,2958,1348,43,15471,154642
worri realli may sharefor peopl borderlin antivax fenc insight im big one vaccin got mine amp grate even though side effect,T,V,2,0,2958,1348,43,15471,154642
congratul ive amp cours there blog post aw side effect want reassur reader total worth amp there reason scare,T,V,1,0,2958,1348,43,15471,154642
peopl need get board amp hope blog help persuad yes im holist med amp yes side effect im glad got vax amp want encourag other flattenthecurv ge,T,L,1,0,2958,1348,43,15471,154642
im super drug sensit amp blog fellow hyperreactorsit messag even your drug sensit amp side effect pass covid might fortun vaccin getvaccin jus,G,L,1,1,2958,1348,43,15471,154642
yay got mine amp bit rough time wside effect want share insight amp lot encourag hour side effect noth compar covid getvaccin flattenthecur,T,V,0,0,2958,1348,43,15471,154642
wearamask im also board covidvaccin bit rough go side effect share insight need part flattenthecurv amp feel lucki,G,V,0,0,2958,1348,43,15471,154642
im one alway extrem amp wacki side effect pharma drug amp advers reaction vax blog say ok person advers eventsbut get anyway effect pass covid might n,T,V,3,0,2958,1348,43,15471,154642
today got johnson amp johnson one dose vaccin feel super reliev side effect begin set hour inject mild far sore arm achi back bit nausea happi share updat time goe,G,L,3,0,552,439,10,24182,20526
almost hour first vaccin mild side effect happi got,J,L,0,0,262,482,2,13251,17676
vaccin side effect way better actual covidtrust,T,L,1,0,1079,755,5,40568,1
asthmat diabet fulli vaccin feel great didnt show side effect either dose your right refus vaccin continu mask social distanc,G,L,19,1,22,115,0,3996,110
vaccin side effect feel better,J,L,6,0,1063,879,2,10834,6515
horni one side effect vaccin,J,L,1,0,23,48,0,1053,6026
sure glad got dose pfizer vaccin yesterday side effect breez,J,L,1,0,120,206,0,9209,6392
appar crazi headach got side effect vaccin,S,V,0,0,233,980,0,3751,9705
tast side effect start approxim hour receiv jampj vaccin sunday intens chillsheadachebad mean bad joint painfev fact cough felt exact like g,S,V,1,0,635,746,8,17025,36127
post covid vaccin side effect glad way help heard immun,G,L,0,0,47,70,1,1270,10644
took pfizer vaccin littl sore around inject site side effect,G,L,1,0,66,300,0,2146,4473
wife got second vaccin shot yesterday shes pretti wipe today take day work seem women experienc side effect vaccin men,S,V,0,0,45,127,0,274,404
wife amp got covidvaccin shot protect mom amp resid ltc essentialfamilycaregiv first bit hesit get vaccin glad side effect least could,T,L,2,1,262,1006,2,602,275
guy im liter shake rn oh wait mandatori vaccin side effect,J,V,11,3,840,867,1,1377,5515
big up netflix drop new season last chanc u laid vaccin side effect noth,J,V,1,0,292,662,23,12207,6249
side effect second dose vaccin similar hangov vaccin,J,L,0,0,3,225,0,10,68
got one done johnson ampjohnson vaccin hrs later report side effect even sore inject sight thank presid biden,G,L,0,0,2255,2648,5,69481,60181
anyon els sudden urg speak russian get vaccin man get weird side effect,J,L,6,0,417,383,7,21719,26111
case your curious ive side effect vaccin hour,T,L,4,0,1513,110,50,8809,3756
got first covid shot morn im play vaccin side effect allergi also game play covid last year,S,V,44,0,7373,3003,150,69787,18282
happi say vaccin lucki find site give jampj vaccin far side effect expect mayb sore arm littl fatigu tomorrow one shot one done easi peasi,G,L,2,0,1586,1819,5,28910,47826
thank ask vaccin done bad side effect hear may tough get done,N,L,0,0,2005,2179,0,73404,237508
feel good grate terribl side effect either two day ago get annual flu shot hesit get vaccin either,G,L,8,0,354,874,6,5738,2920
kid got hug four fulli vaccin grandpar today hug parent first time year brother husband got first round vaccin two day side effect alreadi gone good day,J,L,3,0,611,1133,29,30469,33649
extrem rare amp although doubt truth tweet sure overal merit two dose amp experienc side effect either would encourag everyon get vaccin die,T,L,3,1,115,115,2,7276,1802
skip workout routin day vaccin took supplement give immun system help still side effect havent abl get rid headach,S,V,1,0,464,638,0,5115,108127
q side effect dose covid vaccin season allergi doesnt matter,S,V,4,0,768,851,12,3016,4234
felt ok day next day felt like hit truck normal arent side effect reactogen vaccin everyth felt immun system respons vaccin second shot,S,V,1,0,258,692,1,6689,56952
vaccin updat ive spike bit fever sinc know bodi work vaccin im concern tire ach noth sleep water cant fix still recommend go get vaccin regardless side effect,T,V,5,0,78,188,1,589,5837
year ago today told friend go last night colleg half joke half worri today im lie bed recov side effect jampj vaccin cheer futur,J,V,3,0,279,451,3,1286,12150
hour jampj vaccin side effect far slight nausea dizzi spell noth bad prepar potenti rough even,N,L,1,0,112,789,2,3393,25757
vaccin dose side effect clear complet day intens strang hope feel,G,V,5,0,861,993,2,528,1459
promot bill gate one side effect vaccin,J,L,0,0,116,849,3,1350,2967
fyimi yr old husband receiv dose moderna vaccin late yesterday afternoon zero side effect even sore arm hes done thank,G,L,9,1,4039,4898,4,102738,109656
got first dose vaccin today nj great process mega center took min toll far good side effect encourag everyon get vaccinatedi feel fortun,G,L,0,0,1037,1523,3,5293,5646
great got jampj vaccin saturday sore arm day later side effect eas today hub elig today wait call,G,L,11,1,8510,9339,4,44939,182091
first moderna vaccin far side effect,G,L,0,0,171,958,1,9357,46306
got second moderna vaccin today side effect peac mind,G,L,1,0,463,782,1,40919,54940
side effect either pfizer vaccin shot,G,L,0,0,120,392,1,1602,3114
laid three day shot pfizer believ covid year ago seem prior exposur mean vaccin creat respons get side effect anywher near bad covid,G,V,6,0,2243,2171,3,17047,120740
got vaccin today far side effect microchip doesnt itch much,J,L,10,0,196,0,0,845,143
yo johnson johnson one side effect vaccin peni growth shit like tripl size complain god bless,J,L,1,0,285,319,0,4821,33995
dont also nervous got honest easiest vaccin experi ive ever hurt less flu shot havent side effect sinc ive gotten,G,L,1,0,231,389,0,3057,21534
got first dose vaccin far side effect im gon na go home enjoy time game window pc xbox seri x consol use xbox game pass microsoft,J,L,4,0,163,1002,0,35896,35764
hour get first dose vaccin still side effect,N,L,4,0,172,563,2,23532,21578
yes absolut would dad dose pfizer vaccin side effect would take version offer,G,L,1,0,151,1016,3,3120,8154
got covid vaccin side effect thick voluptu booti bc experienc side effect,J,L,6,1,90,353,0,2925,24533
nonleth side effect headach muscl ach fatigu nausea sore arm chill swollen lymph node name manag avoid anaphylaxi fortun side effect vaccin last day side effect,G,V,0,0,36,489,0,403,5742
want peopl scare know feel like may sucki standard vaccin side effect better risk death experienc anyth unusu miseri incorpor right,T,V,0,0,2955,1610,192,372999,77464
first dose vaccin today real side effect notic microsoft edg best browser dolli parton win everi grammi feel fine,J,L,3,0,93,266,1,615,1650
sorri read vaccin given told moderna bit rougher side effect today second day pfizer feel bad still tire slept lot,S,L,0,0,30,299,0,2544,1945
got pfizer covid vaccin problem side effect,G,L,1,0,316,1224,1,4899,18615
